ST,Year,half,alldrugs_seizure_count
AK,1999,2,16
AK,2000,1,99
AK,2000,2,49
AK,2001,1,11
AK,2001,2,25
AK,2002,1,24
AK,2002,2,40
AK,2003,1,45
AK,2003,2,106
AK,2004,1,40
AK,2004,2,152
AK,2005,1,449
AK,2005,2,660
AK,2006,1,513
AK,2006,2,706
AK,2007,1,610
AK,2007,2,426
AK,2008,1,485
AK,2008,2,258
AK,2009,1,324
AK,2009,2,326
AK,2010,1,471
AK,2010,2,442
AK,2011,1,335
AK,2011,2,381
AK,2012,1,403
AK,2012,2,420
AK,2013,1,569
AK,2013,2,441
AK,2014,1,424
AK,2014,2,428
AK,2015,1,472
AK,2015,2,411
AK,2016,1,521
AK,2016,2,361
AK,2017,1,486
AK,2017,2,417
AK,2018,1,393
AK,2018,2,164
AK,2019,1,107
AK,2019,2,78
AK,2020,1,568
AK,2020,2,669
AK,2021,1,696
AK,2021,2,725
AK,2022,1,726
AK,2022,2,791
AL,1997,1,180
AL,1997,2,932
AL,1998,1,1904
AL,1998,2,1636
AL,1999,1,1995
AL,1999,2,2138
AL,2000,1,3327
AL,2000,2,3438
AL,2001,1,3883
AL,2001,2,5069
AL,2002,1,5109
AL,2002,2,5156
AL,2003,1,5650
AL,2003,2,4315
AL,2004,1,5474
AL,2004,2,5479
AL,2005,1,6572
AL,2005,2,5329
AL,2006,1,5462
AL,2006,2,5282
AL,2007,1,6062
AL,2007,2,5106
AL,2008,1,5969
AL,2008,2,6062
AL,2009,1,7451
AL,2009,2,7380
AL,2010,1,8090
AL,2010,2,8658
AL,2011,1,8695
AL,2011,2,7672
AL,2012,1,7106
AL,2012,2,6128
AL,2013,1,6114
AL,2013,2,5812
AL,2014,1,5462
AL,2014,2,5741
AL,2015,1,5549
AL,2015,2,4614
AL,2016,1,5519
AL,2016,2,6064
AL,2017,1,9430
AL,2017,2,8439
AL,2018,1,9783
AL,2018,2,9351
AL,2019,1,10695
AL,2019,2,10130
AL,2020,1,9968
AL,2020,2,7994
AL,2021,1,10021
AL,2021,2,5523
AL,2022,1,1941
AL,2022,2,1253
AR,1999,1,5
AR,1999,2,39
AR,2000,1,79
AR,2000,2,100
AR,2001,1,137
AR,2001,2,907
AR,2002,1,3660
AR,2002,2,3313
AR,2003,1,4117
AR,2003,2,3716
AR,2004,1,4223
AR,2004,2,4157
AR,2005,1,5121
AR,2005,2,4991
